name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 212771 b,Confirmed,2.3,0.4,0.4,2.3,0.4,0.4,0,,,373.3,3.4,3.4,1.22,0.3,0.3,0.111,0.06,0.06,,,,0.009313,2010,3/19/10,55,40,40,2454947,40,40,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 212771,336.7625,-17.2636111,7.6,,,,,131,14,14,-0.21,0.03,0.03,1.15,0.08,0.08,5,0.1,0.1,G8IV,6,2,2,5121,44,44,,,
HD 213240 b,Confirmed,4.5,,,4.5,,,0,,,951,42,42,2.03,,,0.45,0.04,0.04,,,,0.049816,2001,9/25/12,214,7,7,51520,11,11,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 213240,337.75,-49.4330556,6.8,,,,,40.75,,,0.16,,,1.22,,,1.5,,,G4 IV,5.11,,,5975,,,,,
HD 216435 b,Confirmed,1.26,0.13,0.13,1.26,0.13,0.13,0,,,1311,49,49,2.56,0.17,0.17,0.07,0.078,0.078,,,,0.076877,2002,1/15/16,100,,,2450870,210,210,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 216435,343.4041667,-48.5980556,6.03,,,,,33.3,,,0.244,,,1.3,,,2,0.7,0.7,G0 V,5.27,,,5767,,,IR Excess,,
HD 216437 b,Confirmed,1.82,,,1.82,,,0,,,1256,35,35,2.32,,,0.29,0.12,0.12,,,,0.087547,2002,12/30/10,63,22,22,50693,130,130,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 216437,343.6625,-70.0736111,6.06,,,,,26.5,,,0.25,,,1.06,,,1.1,,,G4 IV-V,12.96,,,5636,,,,,
HD 216770 b,Confirmed,0.65,,,0.65,,,0,,,118.45,0.4,0.4,0.46,,,0.37,0.06,0.06,,,,0.012105,2003,12/30/10,281,10,10,52672,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 216770,343.9708333,-26.6586111,8.1,,,,,38,,,0.23,,,0.9,,,1,,,K1 V,3.6,,,5248,,,,,
HD 217107 b,Confirmed,1.33,0.05,0.05,1.33,0.05,0.05,0,,,7.12689,5.00E-05,5.00E-05,0.073,0.001,0.001,0.132,0.005,0.005,,,,0.003702,1998,3/2/17,22.7,2,2,244998.4,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 217107,344.5625,-2.395,6.16,,,,,19.72,0.3,0.3,0.37,0.05,0.05,1.02,,,1.08,,,G8 IV,7.32,,,5666,40,40,,,
HD 217107 c,Confirmed,2.49,0.25,0.25,2.49,0.25,0.25,0,,,4210,190,190,5.27,0.36,0.36,0.517,0.033,0.033,,,,0.267241,1998,3/2/17,198.6,6,6,2450921,84,84,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 217107,344.5625,-2.395,6.16,,,,,19.72,0.3,0.3,0.37,0.05,0.05,1.02,,,1.08,,,G8 IV,7.32,,,5666,40,40,,,
HD 217786 b,Confirmed,13,0.8,0.8,13,0.8,0.8,0,,,1319,4,4,2.38,0.04,0.04,0.4,0.05,0.05,,,,0.043431,2010,12/20/10,100,2,2,56053,7,7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 217786,345.7833333,0.4297222,7.8,,,,,54.8,2,2,-0.135,0.043,0.043,1.02,0.03,0.03,1.27,0.06,0.06,F8V,7.6,,,5966,65,65,,,
HD 218566 b,Confirmed,0.21,0.02,0.02,0.21,0.02,0.02,0,,,225.7,0.4,0.4,0.6873,0.0008,0.0008,0.3,0.1,0.1,,,,0.022956,2010,11/19/10,36,24,24,10360,154,154,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 218566,347.2958333,-2.2608333,8.63,,,,,29.94,1.11,1.11,0.38,,,0.85,0.03,0.03,0.86,0.08,0.08,K3V,8.5,,,4820,,,,,
HD 219828 b,Confirmed,0.0661,0.0044,0.0044,0.0661,0.0044,0.0044,0,,,3.834887,9.60E-05,9.60E-05,0.045,,,0.059,0.036,0.036,,,,0.000641,2007,5/24/16,255,38,38,2455998.78,0.036,0.036,,,,,,,,,,,,,,,,,,,7.53,0.28,0.28,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219828,349.6958333,18.6458333,8.04,,,,,81.1,1,1,0.19,0.03,0.03,1.24,,,1.7,0.16,0.16,G0IV,5.8,1.2,1.2,5891,18,18,,,
HD 219828 c,Confirmed,15.1,0.85,0.85,15.1,0.85,0.85,0,,,4791,75,75,5.96,,,0.8118,0.0032,0.0032,,,,,2016,6/8/17,145.77,0.28,0.28,2454180.7,1.2,1.2,,,,,,,,,,,,,,,,,,,269.4,4.7,4.7,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219828,349.6958333,18.6458333,8.04,,,,,81.1,1,1,0.19,0.03,0.03,1.24,,,1.7,0.16,0.16,G0IV,5.8,1.2,1.2,5891,18,18,,,
