# name,mass,mass_sini,radius,orbital_period,semi_major_axis,eccentricity,inclination,angular_distance,omega,impact_parameter,temp_calculated,temp_measured,geometric_albedo,log_g,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
eps Eridani b,3.09,1.55,0,2502,3.39,0.702,30.1,1.059375,47,,,,0,,eps Eridani,53.2291667,-9.4580556,3.73,,,,,3.2,-0.13,0.83,0.895,K2 V,0.66,5116,Imaging,
eps Tau b,7.34,7.34,0,594.9,1.9,0.151,,0.042889,94.4,,,,0,,eps Tau,67.1541667,19.1805556,3.53,,,,,45,0.17,2.7,13.7,K0 III,0.625,4901,,
gamma Cephei b,11.1,1.85,0,903.3,2.05,0.049,9.6,0.148658,94.6,,,,0,,gamma Cephei,354.8333333,77.6322222,3.22,,,,,13.79,0.18,1.4,4.9,K1III-IV,6.6,4800,,
kappa CrB b,1.6,1.6,0,1251,2.6,0.19,,0.086817,34,,,,0,,kappa CrB,237.8083333,35.6575,4.79,,3.04,2.04,2.42,31.1,0.14,1.51,5,K1IVa,2.5,4960,,
mu Ara b,1.676,1.676,0,643.25,1.5,0.128,,0.098039,22,,,,0,,mu Ara,266.0333333,-51.8338889,5.15,,,,,15.3,0.28,1.08,1.245,G3 IV-V,6.41,5700,,
mu Ara c,0.03321,0.03321,0,9.6386,0.09094,0.172,,0.005944,212.7,,,,0,,mu Ara,266.0333333,-51.8338889,5.15,,,,,15.3,0.28,1.08,1.245,G3 IV-V,6.41,5700,,
mu Ara d,0.5219,0.5219,0,310.55,0.921,0.0666,,0.060196,189.6,,,,0,,mu Ara,266.0333333,-51.8338889,5.15,,,,,15.3,0.28,1.08,1.245,G3 IV-V,6.41,5700,,
mu Ara e,1.814,1.814,0,4205.8,5.235,0.0985,,0.342157,57.6,,,,0,,mu Ara,266.0333333,-51.8338889,5.15,,,,,15.3,0.28,1.08,1.245,G3 IV-V,6.41,5700,,
mu Leo b,2.4,2.4,0,357.8,1.1,0.09,,,227.1,,,,0,,mu Leo,148.1916667,26.00694445,3.88,,,,,38.05,0.3,1.5,11.4,K2III,3.35,4538.2,,
tau Boo b,5.84,4.13,1.06,3.31249,0.046,0.0787,45,0.002949,218.4,,,,0,,tau Boo,206.8208333,17.4561111,4.5,,,,,15.6,0.28,1.3,1.331,F7 V,2.52,6309,,
tau Cet e,0.0124,0.0124,0,162.87,0.538,0.18,,,22,,,,0,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,-0.55,0.783,0.793,G8.5 V,5.8,5344,Imaging,
tau Cet f,0.0124,0.0124,0,636.13,1.334,0.16,,,120,,,,0,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,-0.55,0.783,0.793,G8.5 V,5.8,5344,Imaging,
tau Cet g,0.00551,0.00551,0,20,0.133,0.06,,,35,,,,0,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,-0.55,0.783,0.793,G8.5 V,5.8,5344,Imaging,
tau Cet h,0.00576,0.00576,0,49.41,0.243,0.23,,,7.4,,,,0,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,-0.55,0.783,0.793,G8.5 V,5.8,5344,Imaging,
tau Gem b,20.6,20.6,0,305.5,1.17,0.031,,,137.4,,,,0,,tau Gem,107.7833333,30.2452778,4.4,,,,,98.4,0.14,2.3,26.8,K2III,1.22,4388,,
ups And b,0.62,0.62,0,4.61711,0.059,0.01186,90,0.00438,44.519,,,,0,,ups And,24.2,41.4105556,4.09,,,,,13.47,0.09,1.27,1.631,F8 V,3.8,6212,,
ups And c,9.1,1.8,0,240.937,0.861,0.2445,11.347,0.06392,247.629,,,,0,,ups And,24.2,41.4105556,4.09,,,,,13.47,0.09,1.27,1.631,F8 V,3.8,6212,,
ups And d,23.58,10.19,0,1281.439,2.55,0.316,25.609,0.18931,252.991,,,,0,,ups And,24.2,41.4105556,4.09,,,,,13.47,0.09,1.27,1.631,F8 V,3.8,6212,,
ups And e,1.059,1.059,0,3848.86,5.2456,0.00536,,0.389428,7.3,,,,0,,ups And,24.2,41.4105556,4.09,,,,,13.47,0.09,1.27,1.631,F8 V,3.8,6212,,
