# name,mass,mass_sini,radius,orbital_period,semi_major_axis,eccentricity,inclination,angular_distance,omega,impact_parameter,temp_calculated,temp_measured,geometric_albedo,log_g,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
HAT-P-27-WASP-40 b,0.66,,1.055,3.0395803,0.0403,0.078,85.08,0.000198,63,,,,0,,HAT-P-27-WASP-40,222.7666667,5.9472222,12.21,,,,,204,0.29,0.945,0.898,G8,4.4,5300,,
HAT-P-28 b,0.626,,1.212,3.257215,0.0434,0.051,88,0.00011,233,,,,0,,HAT-P-28,13,34.7283333,13.03,,,,,395,0.12,1.025,1.103,G3,6.1,5680,,
HAT-P-29 b,0.778,,1.107,5.723186,0.0667,0.095,87.1,0.000207,169,,,,0,,HAT-P-29,33.1291667,51.7788889,11.9,,,,,322,0.21,1.207,1.224,F8,2.2,6087,,
HAT-P-30-WASP-51 b,0.711,,1.34,2.810595,0.0419,0.035,83.6,0.000217,252,,,,0,,HAT-P-30-WASP-51,123.95,5.8366667,10.42,,,,,193,-0.08,1.18,1.33,F,1,6250,,
HAT-P-31 b,2.171,,1.07,5.005425,0.055,0.245,87.1,0.000155,274.3,,,,0,,HAT-P-31,271.5375,26.4266667,11.66,,,,,354,0.15,1.218,1.36,,3.17,6065,,
HAT-P-32 b,0.941,,2.037,2.150009,0.0344,0.163,88.7,0.000108,52,,,,0,,HAT-P-32,31.04166667,46.6877778,11.29,,,,,320,-0.16,1.176,1.387,F/G,3.8,6001,,
HAT-P-33 b,0.763,,1.827,3.474474,0.0503,0.148,86.7,0.00012,96,,,,0,,HAT-P-33,113.1833333,33.835,11.89,,,,,419,0.05,1.403,1.777,F,2.4,6401,,
HAT-P-34 b,3.328,,1.107,5.452654,0.0677,0.441,87.1,0.000263,20,,,,0,,HAT-P-34,303.1958333,18.105,10.16,,,,,257,0.08,1.36,1.45,,1.7,6509,,
HAT-P-35 b,1.054,,1.332,3.646706,0.0498,0.025,87.3,9.30E-05,248,,,,0,,HAT-P-35,123.25,4.7869444,12.46,,,,,535,0.11,1.236,1.435,,3.5,6096,,
HAT-P-36 b,1.832,,1.264,1.327347,0.0238,0.063,86,7.50E-05,95,,,,0,,HAT-P-36,188.2625,44.9152778,12.26,,,,,317,0.26,1.022,1.096,,6.6,5580,,
HAT-P-37 b,1.169,,1.178,2.797436,0.0379,0.058,86.9,9.20E-05,164,,,,0,,HAT-P-37,284.2958333,51.2691667,13.23,,,,,411,0.03,0.929,0.877,,3.6,5500,,
HAT-P-38 b,0.267,,0.825,4.640382,0.0523,0.067,88.3,0.00021,240,,,,0,,HAT-P-38,35.38300001,32.24633335,12.56,,,,,249,0.06,0.886,0.923,G,10.1,5330,,
HAT-P-67 b,0.34,,2.085,4.81010205,0.06505,0.24,88.8,,172,0.12,1903,,0,,HAT-P-67,256.6125,44.77694447,10.69,,,,,320,-0.08,1.642,1.546,F,1.24,6406,,
HATS-1 b,1.855,,1.302,3.446459,0.0444,0.12,85.6,0.000147,60,,,,0,,HATS-1,175.525,-23.3547222,12.05,,,,,303,-0.06,0.986,1.038,,6,5870,,
HATS-17 b,1.338,1.338,0.777,16.254611,0.1308,0.029,89.08,,354,0.187,814,,0,,HATS-17,192.1916667,-47.61361113,12.4,,,,,339,0.3,1.131,1.091,G,2.1,5846,,
HATS-19 b,0.427,,1.66,4.569673,0.0589,0.3,86.6,,44,0.32,1570,,0,,HATS-19,147.4083333,-33.21861112,13,,,,,780,0.24,1.303,1.74,G0,3.94,5896,,
HATS-22 b,2.74,,0.953,4.7228124,0.05025,0.079,87.96,,56,0.536,858,,0,,HATS-22,174.0083333,-29.60055557,13.46,,,,,207.9,0,0.759,0.689,,4.6,4803,,
HATS-4 b,1.323,,1.02,2.516729,0.0362,0.013,88.5,,275,,1315,,0,,HATS-4,94.11250001,-21.45305553,13.5,0.017,,,,420,0.43,1.001,0.925,,2.1,5403,,
HATS-43 b,0.261,,1.18,4.3888497,0.04944,0.173,89.24,,330,,,,0,,HATS-43,80.53816667,-30.97083336,13.593,,,,,341,0.05,0.837,0.812,K,8.6,5099,,
HATS-5 b,0.237,,0.912,4.763387,0.0542,0.019,89.3,,204,,1025,,0,,HATS-5,67.22500002,-20.51805553,12.63,,,,,257,0.19,0.936,0.871,,3.6,5304,,
HD 102117 b,0.172,0.172,0,20.67,0.1532,0.106,,0.003648,283,,,,0,,HD 102117,176.2083333,-58.7036111,7.47,,,,,42,0.3,1.03,1.27,G6V,6.21,5672,,
HD 102195 b,0.45,0.45,0,4.113775,0.049,0,,0.001691,360,,,,0,,HD 102195,176.425,2.8213889,8.05,,,,,28.98,0.05,0.926,0.835,K0V,2.4,5291,,
HD 102329 b,5.9,5.9,0,778.1,2.01,0.211,,0.012722,182,,,,0,,HD 102329,176.6958333,3.4741667,8.04,,,,,158,0.3,1.95,6.3,,1.6,4830,,
HD 102956 b,0.96,0.96,0,6.495,0.081,0.048,,0.000643,12,,,,0,,HD 102956,177.8458333,57.6408333,8,,,,,126,0.19,1.68,4.4,A,2.3,5054,,
HD 103720 b,0.62,0.62,0,4.5557,0.0498,0.086,,,262,,,,0,,HD 103720,179.1708333,-2.778888914,9.49,,,,,41.6,-0.02,0.794,0.73,K3V,3.8,5017,,
HD 104985 b,8.3,8.3,0,199.505,0.95,0.09,,0.007647,203.5,,,,0,,HD 104985,181.3125,76.9055556,5.79,,,,,102,-0.35,1.6,10.87,G9 III,2.95,4786,,
HD 106252 b,32.9,7.56,0,1600,2.7,0.47,166.7,0.072115,292.2,,,,0,,HD 106252,183.3708333,10.0413889,7.36,,,,,37.44,-0.078,0.96,1.09,G0,5.02,5754,,
HD 106270 b,11,11,0,2890,4.3,0.402,,0.050648,15.4,,,,0,,HD 106270,183.4041667,-9.5133333,7.73,,,,,84.9,0.08,1.32,2.5,G5,4.3,5638,,
HD 106315 b,0.0396,,0.218,9.5521,0.09012,0.3,88.4,,72,0.47,1149,,0,,HD 106315,183.4708334,-0.393611127,9,,,,,107.3,-0.24,1.07,1.18,F5V,4,6290,,
HD 106315 c,0.0478,,0.352,21.0576,0.1526,0.23,89.42,,106,0.34,1143,,0,,HD 106315,183.4708334,-0.393611127,9,,,,,107.3,-0.24,1.07,1.18,F5V,4,6290,,
HD 10647 b,0.93,0.93,0,1003,2.03,0.1,,0.117341,108.9,,,,0,,HD 10647,25.6208333,-53.7408333,5.52,,,,,17.3,-0.078,1.1,1.1,F8V,4.8,6039,Imaging,
HD 10697 b,6.83,6.38,0,1076.4,2.16,0.1,69,0.066339,108.9,,,,0,,HD 10697,26.2291667,20.0830556,6.29,,,,,32.56,0.1,1.15,1.72,G5 IV,6.9,5641,,
HD 108147 b,0.261,0.261,0,10.8985,0.102,0.53,,0.002645,308,,,,0,,HD 108147,186.4416667,-64.0219444,6.99,,,,,38.57,0.18,1.19,1.22,F8/G0 V,1.98,6067,,
HD 108341 b,3.5,3.5,0,1129,2,0.85,,,56.7,,,,0,,HD 108341,186.8791667,-71.42305557,9.36,,,,,49.4,0.04,0.843,0.79,K2V,4.9,5122,,
HD 108863 b,2.6,2.6,0,443.4,1.4,0.1,,0.010072,177,,,,0,,HD 108863,187.5833333,21.9483333,7.89,,,,,139,0.2,1.85,5.6,K0,1.8,4956,,
HD 108874 b,1.36,1.36,0,395.4,1.051,0.07,,0.015343,248.4,,,,0,,HD 108874,187.6083333,22.8797222,8.76,,,,,68.5,0.14,1,1.22,G5,7.26,5407,IR Excess,
HD 108874 c,1.018,1.018,0,1605.8,2.68,0.25,,0.039124,17.3,,,,0,,HD 108874,187.6083333,22.8797222,8.76,,,,,68.5,0.14,1,1.22,G5,7.26,5407,IR Excess,
HD 110014 b,10.7,10.7,0,882.6,2.31,0.26,,0.023778,47.72,,,,0,,HD 110014,189.8083333,-7.9955556,4.66,,,,,90,0.19,2.17,20.9,K2III,0.95,4445,,
HD 111591 b,4.4,4.4,0,1056.4,2.5,0.26,,,78.72,,,,0,,HD 111591,192.5708333,22.86333336,6.6,,,,,108,0.07,1.94,8.03,K0III,1.41,4884,,
HD 113337 b,2.83,2.83,0,324,0.92,0.46,,,219.2,,,,0,,HD 113337,195.4458,63.6103,6,,,,,36.9,0.07,1.4,1.5,,0.15,6577,,
HD 113538 b,0.36,0.36,0,663.2,1.24,0.14,,,74,,,,0,,HD 113538,196.2375,-52.4430556,9.06,,,,,15.8,-0.24,0.585,0.53,K9V,4.3,4462,,
HD 113538 c,0.93,0.93,0,1818,2.44,0.2,,0.153797,280,,,,0,,HD 113538,196.2375,-52.4430556,9.06,,,,,15.8,-0.24,0.585,0.53,K9V,4.3,4462,,
HD 113996 b,6.3,6.3,0,610.2,1.6,0.28,,,92.06,,,,0,,HD 113996,196.7958333,27.62472224,4.9,,,,,102,0.13,1.49,25.11,K5III,3.24,4181,,
HD 114386 b,1.24,1.24,0,937,1.02,0.23,,0.058929,273,,,,0,,HD 114386,197.6625,-35.0547222,8.73,,,,,28,0,0.75,0.76,K3 V,2.19,4819,,
HD 114729 b,0.84,0.84,0,1135,2.08,0.32,,0.059429,73,,,,0,,HD 114729,198.1833333,-31.8733333,6.69,,,,,35,-0.22,0.93,1.46,G3 V,4.58,5662,,
HD 114762 b,10.98,10.98,0,83.9151,0.353,0.3354,,0.008946,201.28,,,,0,,HD 114762,198.0791667,17.5169444,7.3,,,,,39.46,-0.71,0.84,1.24,F9V,11.8,5934,,
HD 114783 b,6.3,1.1,0,493.7,1.16,0.144,10,0.058824,86,,,,0,,HD 114783,198.1791667,-2.265,7.57,,,,,20.4,0.33,0.92,0.78,K0,3.7,5105,,
HD 11506 b,3.44,3.44,0,1270,2.43,0.22,,0.045151,4.5,,,,0,,HD 11506,28.2125,-19.5069444,7.51,,,,,53.82,0.31,1.19,1.38,G0V,5.4,6058,,
HD 11506 c,0.82,0.82,0,170.46,0.639,0.42,,0.011873,4.1,,,,0,,HD 11506,28.2125,-19.5069444,7.51,,,,,53.82,0.31,1.19,1.38,G0V,5.4,6058,,
HD 116029 b,2.1,2.1,0,670.2,1.73,0.21,,0.014042,360,,,,0,,HD 116029,200.1666667,24.6486111,8.04,,,,,123.2,0.18,1.58,4.6,K1III,2.7,4951,,
HD 117207 b,2.06,2.06,0,2627.08,3.78,0.16,,0.114545,81.7,,,,0,,HD 117207,202.3375,-35.5708333,7.26,,,,,33,0.27,1.07,1.09,G8VI/V,6.68,5432,,
HD 11755 b,6.5,6.5,0,433.7,1.08,0.19,,,155.3,,,,0,,HD 11755,29.70833335,73.15250001,6.87,,,,,231.5,-0.74,0.9,27.3,G5,10.2,4312.5,,
HD 117618 b,0.178,0.178,0,25.827,0.176,0.42,,0.004632,245,,,,0,,HD 117618,203.1041667,-47.2711111,7.18,,,,,38,0.04,1.05,1.19,G2V,3.88,5861,,
HD 117618 c,0.2,0.2,0,318,0.93,0,,,360,,,,0,,HD 117618,203.1041667,-47.2711111,7.18,,,,,38,0.04,1.05,1.19,G2V,3.88,5861,,
HD 11964 b,0.622,0.622,0,1945,3.16,0.041,,0.092996,155,,,,0,,HD 11964,29.2875,-10.2422222,6.42,,,,,33.98,0.17,1.125,2.18,G5,9.56,5248,,
HD 11964 c,0.079,0.079,0,37.91,0.229,0.3,,0.006739,102,,,,0,,HD 11964,29.2875,-10.2422222,6.42,,,,,33.98,0.17,1.125,2.18,G5,9.56,5248,,
HD 11977 b,6.29,6.29,0,711,1.89,0.4,,0.029023,351.5,,,,0,,HD 11977,28.7333333,-67.6472222,4.7,,,,,66.5,-0.21,1.91,13,G8.5 III,1.25,4975,,
HD 125612 b,3,3,0,502,1.37,0.46,,0.025937,41.5,,,,0,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,0.24,1.1,1.05,G3V,2.1,5897,,
HD 125612 c,0.058,0.058,0,4.1547,0.05,0.27,,0.000947,103,,,,0,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,0.24,1.1,1.05,G3V,2.1,5897,,
HD 125612 d,7.2,7.2,0,3008,4.2,0.28,,0.079515,284,,,,0,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,0.24,1.1,1.05,G3V,2.1,5897,,
HD 12648 b,2.9,2.9,0,133.6,0.54,0.04,,,99.3,,,,0,,HD 12648,34.75,85.73611113,6.98,,,,,158.4,-0.57,1.2,9.2,G5,4.5,4835.8,,
HD 12661 b,2.3,2.3,0,263.6,0.83,0.377,,0.022336,296,,,,0,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,0.29,1.07,1.12,G6 V,7.05,5742,,
HD 12661 c,1.57,1.57,0,1708,2.56,0.031,,0.068891,165,,,,0,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,0.29,1.07,1.12,G6 V,7.05,5742,,
HD 126614 b,0.38,0.38,0,1244,2.35,0.41,,0.032459,243,,,,0,,HD 126614,216.7,-5.1777778,8.81,,,,,72.4,0.56,1.145,1.09,K0,7.2,5585,,
HD 128311 b,2.18,2.18,0,448.6,1.099,0.25,,0.066205,110.9,,,,0,,HD 128311,219,9.7463889,7.51,,,,,16.6,0.08,0.84,0.73,K0V,0.39,4965,IR Excess,
HD 128311 c,4.19,3.21,0,919,1.76,0.17,50,0.106024,195.5,,,,0,,HD 128311,219,9.7463889,7.51,,,,,16.6,0.08,0.84,0.73,K0V,0.39,4965,IR Excess,
HD 128356 b,0.89,0.89,0,298.2,0.87,0.57,,,84,,,,0,,HD 128356,219.2708333,-25.80250002,8.29,,,,,26.03,0.17,0.65,0.85,K3V,10,4875,,
HD 130322 b,1.05,1.02,0,10.72,0.088,0.044,76,0.002933,203.63,,,,0,,HD 130322,221.8875,0.2813889,8.05,,,,,30,-0.02,0.79,0.83,K0 V,0.35,5330,IR Excess,
HD 131496 b,2.2,2.2,0,883,2.09,0.163,,0.019,22,,,,0,,HD 131496,223.3458333,18.2352778,7.96,,,,,110,0.25,1.61,4.6,K0,2.7,4927,,
HD 134987 b,1.59,1.59,0,258.19,0.81,0.233,,0.036486,252.7,,,,0,,HD 134987,228.3666667,-25.3091667,6.45,,,,,22.2,0.25,1.07,1.25,G5 V,9.7,5740,,
HD 134987 c,0.82,0.82,0,5000,5.8,0.12,,0.261261,195,,,,0,,HD 134987,228.3666667,-25.3091667,6.45,,,,,22.2,0.25,1.07,1.25,G5 V,9.7,5740,,
HD 136418 b,2,2,0,464.3,1.32,0.255,,0.013442,12,,,,0,,HD 136418,229.7791667,41.7333333,7.88,,,,,98.2,-0.07,1.33,3.4,G5,4,5071,,
HD 137388 b,0.223,0.223,0,330,0.89,0.36,,0.023421,86,,,,0,,HD 137388,233.9166667,-80.2047222,8.71,,,,,38,0.18,0.86,0.82,K0/K1V,6.45,5240,,
HD 13931 b,1.88,1.88,0,4218,5.15,0.02,,0.116516,290,,,,0,,HD 13931,34.1958333,43.7730556,7.61,,,,,44.2,0.03,1.02,1.23,G0,8.4,5829,,
HD 139357 b,9.76,9.76,0,1125.7,2.36,0.1,,0.01944,235.4,,,,0,,HD 139357,233.8166667,53.9222222,5.98,,,,,121.4,-0.13,1.35,11.47,K4III,3.07,4700,,
HD 14067 b,7.8,7.8,0,1455,3.4,0.533,,,109.9,,,,0,,HD 14067,34.293499,23.76782827,6.51,,,,,163.4,-0.1,2.4,12.4,G9 III,0.69,4815,,
HD 141937 b,9.7,9.7,0,653.22,1.52,0.41,,0.045427,187.72,,,,0,,HD 141937,238.0708333,-18.4358333,7.25,,,,,33.46,0.11,1.1,1.06,G2/G3 V,2.55,5925,,
HD 142 b,1.25,1.25,0,349.7,1.02,0.17,,0.049515,327,,,,0,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,0.04,1.1,0.86,G1 IV,5.93,6180,IR Excess,
HD 142 c,5.3,5.3,0,6005,6.8,0.21,,0.330097,250,,,,0,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,0.04,1.1,0.86,G1 IV,5.93,6180,IR Excess,
HD 142022 A b,29,5.1,0,1928,3.03,0.53,10,0.084472,170,,,,0,,HD 142022 A,242.5625,-84.2313889,7.7,,,,,35.87,0.19,0.99,0.705,K0 V,13.3,5382,,
HD 142245 b,1.9,1.9,0,1299,2.77,0.32,,0.025297,234,,,,0,,HD 142245,238.2333333,15.4308333,7.63,,,,,109.5,0.23,1.69,5.2,K0,2.3,4878,,
HD 142415 b,1.62,1.62,0,386.3,1.05,0.5,,0.030702,255,,,,0,,HD 142415,239.4166667,-60.2,7.34,,,,,34.2,0.21,1.09,1.03,G1 V,1.49,5834,,
HD 145377 b,5.76,5.76,0,103.95,0.45,0.307,,0.007799,138.1,,,,0,,HD 145377,242.9,-27.0780556,8.12,,,,,57.7,0.12,1.12,1.14,G3V,1.3,6046,,
HD 147513 b,1.21,1.21,0,528.4,1.32,0.26,,0.102326,282,,,,0,,HD 147513,246.0041667,-39.1927778,5.37,,,,,12.9,-0.03,0.92,1,G3/G5V,0.65,5701,,
HD 147873 b,5.14,5.14,0,116.596,0.522,0.207,,,80,,,,0,,HD 147873,246.4375,-33.45361112,7.96,,,,,104.93,-0.03,1.38,2.29,G1V,4,5972,,
HD 147873 c,2.3,2.3,0,491.54,1.36,0.23,,,42,,,,0,,HD 147873,246.4375,-33.45361112,7.96,,,,,104.93,-0.03,1.38,2.29,G1V,4,5972,,
HD 148427 b,0.96,0.96,0,331.5,0.93,0.16,,0.015683,277,,,,0,,HD 148427,247.1166667,-13.3997222,6.89,,,,,59.3,0.154,1.45,3.22,K0IV,2.5,5052,,
HD 1502 b,3.1,3.1,0,431.8,1.31,0.101,,0.008239,219,,,,0,,HD 1502,4.8208333,14.0547222,8.52,,,,,159,0.09,1.61,4.5,K0D,2.4,5049,,
HD 150706 b,2.71,2.71,0,5894,6.7,0.38,,0.246324,132,,,,0,,HD 150706,247.8208333,79.7897222,7.03,,,,,27.2,-0.13,0.94,0.87,G0,1.17,5741,IR Excess,
HD 152581 b,1.5,1.5,0,689,1.48,0.22,,0.007957,321,,,,0,,HD 152581,253.4333333,11.9736111,8.54,,,,,186,-0.46,0.927,4.8,K0,12,5155,,
HD 153950 b,2.73,2.73,0,499.4,1.28,0.34,,0.025806,308.2,,,,0,,HD 153950,256.1291667,-43.3097222,7.39,,,,,49.6,-0.01,1.12,1.34,F8V,4.3,6076,,
HD 154672 b,5.02,5.02,0,163.91,0.6,0.61,,0.009119,265,,,,0,,HD 154672,257.5208333,-56.4491667,8.22,,7.01,6.7,6.61,65.8,0.26,1.06,1.27,G3IV,9.28,5714,,
HD 154857 b,2.24,2.24,0,408.6,1.291,0.46,,0.017518,57,,,,0,,HD 154857,257.8125,-56.6805556,7.25,,,,,64.2,-0.22,1.718,1.76,G5V,5.6,5445,,
HD 154857 c,2.58,2.58,0,3452,5.36,0.06,,,352,,,,0,,HD 154857,257.8125,-56.6805556,7.25,,,,,64.2,-0.22,1.718,1.76,G5V,5.6,5445,,
HD 158038 b,1.8,1.8,0,521,1.52,0.291,,0.014672,334,,,,0,,HD 158038,261.4375,27.3033333,7.64,,,,,103.6,0.28,1.65,4.8,K2III,2.5,4897,,
HD 1605 b,0.96,0.96,0,577.9,1.48,0.078,,,26.65,,,,0,,HD 1605,5.133333344,30.97472225,7.52,,,,,84.6,0.21,1.31,3.8,K1 IV,4.59,4757,,
HD 1605 c,3.48,3.48,0,2111,3.52,0.098,,,240,,,,0,,HD 1605,5.133333344,30.97472225,7.52,,,,,84.6,0.21,1.31,3.8,K1 IV,4.59,4757,,
HD 16141 b,0.215,0.215,0,75.82,0.35,0.28,,0.009749,41,,,,0,,HD 16141,38.8291667,-3.5605556,6.78,,,,,35.9,0.02,1.01,1,G5 IV,7.76,5533,,
HD 16175 b,4.77,4.77,0,995.4,2.148,0.637,,0.035117,221.5,,,,0,,HD 16175,39.2583333,42.0625,7.28,,6.17,5.92,5.85,59.8,0.37,1.35,1.87,G0,5.3,6022,,
HD 162020 b,14.4,14.4,0,8.428198,0.074,0.277,,0.002367,332.672,,,,0,,HD 162020,267.6583333,-40.3183333,9.18,,,,,31.26,0.01,0.75,0.71,K2 V,0.76,4830,,
HD 163607 b,0.77,0.77,0,75.229,0.36,0.73,,0.005217,78.7,,,,0,,HD 163607,268.4166667,56.3919444,8.15,,,,,69,0.21,1.09,1.63,G5IV,8.6,5543,,
HD 163607 c,2.29,2.29,0,1314,2.42,0.12,,0.035072,265,,,,0,,HD 163607,268.4166667,56.3919444,8.15,,,,,69,0.21,1.09,1.63,G5IV,8.6,5543,,
HD 164509 b,0.48,0.48,0,282.4,0.875,0.26,,0.016827,324,,,,0,,HD 164509,270.3791667,0.1044444,8.24,,,,,52,0.21,1.13,1.06,G5V,1.1,5922,,
HD 164922 b,0.3385,0.3385,0,1201.1,2.115,0.126,,0.096215,129,,159.4,,0,,HD 164922,270.625,26.3127778,6.99,,,,,22.13,0.16,0.874,0.999,G9V,13.4,5293,,
HD 164922 c,0.0406,0.0406,0,75.765,0.3351,0.22,,,81,,400.5,,0,,HD 164922,270.625,26.3127778,6.99,,,,,22.13,0.16,0.874,0.999,G9V,13.4,5293,,
HD 165155 b,2.89,2.89,0,434.5,1.13,0.2,,,211,,,,0,,HD 165155,271.4875,-29.91722224,9.36,,,,,64.98,0.09,1.02,0.95,G8V,11,5426,,
HD 1666 b,6.43,6.43,0,270,0.94,0.63,,,295,,,,0,,HD 1666,5.216666684,-19.93111114,8.17,,,,,110.6,0.37,1.5,1.93,F7 V,1.76,6317,,
HD 167042 b,1.6,1.6,0,416.1,1.3,0.03,,0.026,34,,,,0,,HD 167042,272.6333333,54.2866667,5.97,,3.93,3.56,3.55,50,0.05,1.64,4.3,K1III,2.2,5020,,
HD 168443 b,7.659,7.659,0,58.11247,0.2931,0.52883,,0.007841,172.923,,,,0,,HD 168443,275.0166667,-9.5927778,6.92,,,,,37.38,0.04,0.995,1.51,G5,9.8,5591,,
HD 168443 c,29.463,17.193,0,1749.83,2.8373,0.2113,35.7,0.075904,64.87,,,,0,,HD 168443,275.0166667,-9.5927778,6.92,,,,,37.38,0.04,0.995,1.51,G5,9.8,5591,,
HD 168746 b,0.23,0.23,0,6.403,0.065,0.081,,0.001507,16.3,,,,0,,HD 168746,275.4541667,-11.9225,7.95,,,,,43.12,-0.06,0.88,1.12,G5,3.75,5610,,
HD 1690 b,6.1,6.1,0,533,1.3,0.64,,0.004075,122,,,,0,,HD 1690,5.3041667,-8.2811111,9.17,,,,,319,-0.32,1.09,16.7,K1III,6.7,4393,,
HD 169830 b,2.88,2.88,0,225.62,0.81,0.31,,0.022302,148,,,,0,,HD 169830,276.9541667,-29.8166667,5.9,,,,,36.32,0.21,1.4,1.84,F8 V,4.95,6266,,
HD 169830 c,4.04,4.04,0,2102,3.6,0.33,,0.099119,252,,,,0,,HD 169830,276.9541667,-29.8166667,5.9,,,,,36.32,0.21,1.4,1.84,F8 V,4.95,6266,,
HD 170469 b,0.67,0.67,0,1145,2.24,0.11,,0.034477,34,,,,0,,HD 170469,277.2958333,11.6955556,8.21,,,,,64.97,0.3,1.14,1.22,G5IV,6.7,5810,,
HD 171028 b,1.98,1.98,0,550,1.32,0.59,,0.014667,304,,,,0,,HD 171028,278.0625,6.9458333,8.31,,,,,90,-0.49,0.99,1.95,G0,8,5663,,
HD 17156 b,3.195,3.191,1.095,21.2163979,0.1623,0.6768,87.21,0.002074,121.71,,,,0,,HD 17156,42.4333333,71.7533333,8.17,,,,,78.24,0.24,1.275,1.508,G0,3.38,6079,,
HD 175370 b,4.6,4.6,0,349.5,0.98,0.22,,,162,,,,0,,HD 175370,283.25,43.71361114,7.19,,,,,272,-0.52,1.02,23.5,K2 III,8.7,4301,,
HD 175541 b,0.61,0.61,0,297.3,1.03,0.33,,0.008047,183,,,,0,,HD 175541,283.9208333,4.2652778,8.03,,,,,128,-0.07,1.65,3.85,G8IV,1.9,5060,,
HD 176986 b,0.0181,0.0181,0,6.4898,0.06296,0.066,,,249,,,,0,,HD 176986,285.775,-11.0438889,8.45,,,,,26.4,0.03,0.789,0.782,K2.5V,4.3,4931,,
HD 176986 c,0.0289,0.0289,0,16.8191,0.11878,0.111,,,270,,,,0,,HD 176986,285.775,-11.0438889,8.45,,,,,26.4,0.03,0.789,0.782,K2.5V,4.3,4931,,
HD 177830 b,1.49,1.49,0,406.6,1.2218,0.0009,,0.020708,85,,,,0,,HD 177830,286.3333333,25.9205556,7.18,,,,,59,0.55,1.47,2.99,K0IV,4.4,4948,,
HD 177830 c,0.15,0.15,0,110.9,0.5137,0.3495,,0.008707,110,,,,0,,HD 177830,286.3333333,25.9205556,7.18,,,,,59,0.55,1.47,2.99,K0IV,4.4,4948,,
HD 178911 B b,6.292,6.292,0,71.487,0.32,0.1243,,0.006848,169.8,,,,0,,HD 178911 B,287.2625,34.5997222,7.98,,,,,46.73,0.28,1.07,1.14,G5,5.2,5650,Imaging,
HD 179949 b,0.92,0.92,1.05,3.0925,0.045,0.0104,,0.001667,189.3,,,,0,,HD 179949,288.8875,-24.1791667,6.25,,,,,27,0.22,1.28,1.19,F8 V,2.05,6260,,
HD 180902 b,1.6,1.6,0,479,1.39,0.09,,0.012636,300,,,,0,,HD 180902,289.825,-23.5580556,7.78,,,,,110,0.04,1.52,4.1,K0III/IV,2.8,5030,,
HD 181342 b,2.9,2.9,0,562,1.65,0.1,,0.016094,312,,,,0,,HD 181342,290.2666667,-23.6194444,7.55,,,,,110.6,0.26,1.84,4.6,K0III,1.8,5014,,
HD 183263 b,3.67,3.67,0,626.5,1.51,0.357,,0.028491,233.5,,,,0,,HD 183263,292.1,8.3577778,7.86,,,,,53,0.3,1.17,1.21,G2IV,8.1,5888,,
HD 183263 c,3.82,3.82,0,2950,4.25,0.253,,0.080189,339.6,,,,0,,HD 183263,292.1,8.3577778,7.86,,,,,53,0.3,1.17,1.21,G2IV,8.1,5888,,
HD 185269 b,0.94,0.94,0,6.838,0.077,0.3,,0.001638,173,,,,0,,HD 185269,294.3,28.5,6.67,,,,,47,0.11,1.28,1.88,G0IV,4.2,5980,,
HD 187123 b,0.52,0.52,0,3.0965828,0.0426,0.01,,0.000852,25,,,,0,,HD 187123,296.7375,34.4208333,7.86,,,,,50,0.16,1.06,1.17,G5,5.33,5714,,
HD 187123 c,1.99,1.99,0,3810,4.89,0.252,,0.0978,250,,,,0,,HD 187123,296.7375,34.4208333,7.86,,,,,50,0.16,1.06,1.17,G5,5.33,5714,,
HD 18742 b,2.7,2.7,0,772,1.92,0.23,,0.014222,102,,,,0,,HD 18742,45.0458333,-20.8025,7.97,,,,,135,-0.04,1.6,4.9,G9IV,2.3,5048,,
HD 188015 b,1.26,1.26,0,456.46,1.19,0.15,,0.022624,293,,,,0,,HD 188015,298.0166667,28.1002778,8.22,,,,,52.6,0.29,1.09,1.1,G5IV,6.2,5520,,
HD 189733 b,1.142,1.138,1.138,2.21857312,0.03142,0.0041,85.51,0.001628,90,,,,0.4,,HD 189733,300.1791667,22.7108333,7.67,,,,,19.3,-0.03,0.8,0.805,K1-K2,0.6,4875,,Yes
HD 190228 b,65.7,,0,1146,2,0.5,4.5,0.030253,107,,,,0,,HD 190228,300.75,28.3066667,7.3,,,,,66.11,-0.24,1.3,3.02,G5IV,10.16,5176,,
HD 190360 b,1.495,1.495,0,2867.9,3.92,0.343,,,14.7,,,,0,,HD 190360,300.9041667,29.8966667,5.71,,,,,15.89,0.24,1.04,1.2,G6 IV,12.11,5588,,
HD 190360 c,0.06381,0.06381,0,17.1186,0.128,0.107,,,305.8,,,,0,,HD 190360,300.9041667,29.8966667,5.71,,,,,15.89,0.24,1.04,1.2,G6 IV,12.11,5588,,
